"Time","pos-api-multi Memory (WSS)"
2026-04-19 14:41:15,5.63 MiB
2026-04-19 14:41:30,5.63 MiB
2026-04-19 14:41:45,5.63 MiB
2026-04-19 14:42:00,5.63 MiB
2026-04-19 14:42:15,5.63 MiB
2026-04-19 14:42:30,5.63 MiB
2026-04-19 14:42:45,5.63 MiB
2026-04-19 14:43:00,5.63 MiB
2026-04-19 14:43:15,5.63 MiB
2026-04-19 14:43:30,5.63 MiB
2026-04-19 14:43:45,13.3 MiB
2026-04-19 14:44:00,13.7 MiB
2026-04-19 14:44:15,13.7 MiB
2026-04-19 14:44:30,14.2 MiB
2026-04-19 14:44:45,14.2 MiB
2026-04-19 14:45:00,14.5 MiB
2026-04-19 14:45:15,14.8 MiB
2026-04-19 14:45:30,14.8 MiB
2026-04-19 14:45:45,14.5 MiB
2026-04-19 14:46:00,14.5 MiB
2026-04-19 14:46:15,14.4 MiB
2026-04-19 14:46:30,14.4 MiB
2026-04-19 14:46:45,14.4 MiB
2026-04-19 14:47:00,14.7 MiB
2026-04-19 14:47:15,14.7 MiB
2026-04-19 14:47:30,15.2 MiB
2026-04-19 14:47:45,15.1 MiB
2026-04-19 14:48:00,15.1 MiB
2026-04-19 14:48:15,14.6 MiB
2026-04-19 14:48:30,14.6 MiB
2026-04-19 14:48:45,14.6 MiB
2026-04-19 14:49:00,14.6 MiB
2026-04-19 14:49:15,14.6 MiB
2026-04-19 14:49:30,14.6 MiB
2026-04-19 14:49:45,14.6 MiB
2026-04-19 14:50:00,13.0 MiB