"Time","CPU Usage %"
2026-04-19 13:46:30,57.1%
2026-04-19 13:46:45,31.6%
2026-04-19 13:47:00,2.72%
2026-04-19 13:47:15,0.611%
2026-04-19 13:47:30,0.589%
2026-04-19 13:47:45,21.6%
2026-04-19 13:48:00,-11.5%
2026-04-19 13:48:15,-0.433%
2026-04-19 13:48:30,23.9%
2026-04-19 13:48:45,12.5%
2026-04-19 13:49:00,1.59%
2026-04-19 13:49:15,17.9%
2026-04-19 13:49:30,0.00556%
2026-04-19 13:49:45,-3.97%
2026-04-19 13:50:00,15.9%
2026-04-19 13:50:15,-1.70%
2026-04-19 13:50:30,10.4%
2026-04-19 13:50:45,42.0%
2026-04-19 13:51:00,16.4%
2026-04-19 13:51:15,9.84%
2026-04-19 13:51:30,6.80%
2026-04-19 13:51:45,6.36%
2026-04-19 13:52:00,5.46%
2026-04-19 13:52:15,5.51%
2026-04-19 13:52:30,3.99%
2026-04-19 13:52:45,7.95%
2026-04-19 13:53:00,9.31%
2026-04-19 13:53:15,9.72%
2026-04-19 13:53:30,7.13%
2026-04-19 13:53:45,2.88%
2026-04-19 13:54:00,4.66%
2026-04-19 13:54:15,6.85%
2026-04-19 13:54:30,10.8%
2026-04-19 13:54:45,6.49%
2026-04-19 13:55:00,2.28%
2026-04-19 13:55:15,0.628%
2026-04-19 13:55:30,0.406%
2026-04-19 13:55:45,0.644%
2026-04-19 13:56:00,0.533%
2026-04-19 13:56:15,0.916%
2026-04-19 13:56:30,0.646%
2026-04-19 13:56:45,0.756%
2026-04-19 13:57:00,0.729%
2026-04-19 13:57:15,0.739%