"Time","idle"
2026-04-20 14:19:15,44.2%
2026-04-20 14:19:30,67.3%
2026-04-20 14:19:45,92.8%
2026-04-20 14:20:00,94.5%
2026-04-20 14:20:15,96.1%
2026-04-20 14:20:30,95.8%
2026-04-20 14:20:45,95.9%
2026-04-20 14:21:00,95.9%
2026-04-20 14:21:15,96.0%
2026-04-20 14:21:30,96.1%
2026-04-20 14:21:45,96.0%
2026-04-20 14:22:00,96.1%
2026-04-20 14:22:15,96.2%
2026-04-20 14:22:30,96.1%
2026-04-20 14:22:45,96.3%
2026-04-20 14:23:00,96.1%
2026-04-20 14:23:15,95.9%
2026-04-20 14:23:30,95.7%
2026-04-20 14:23:45,95.9%
2026-04-20 14:24:00,95.9%
2026-04-20 14:24:15,96.4%
2026-04-20 14:24:30,97.3%
2026-04-20 14:24:45,98.6%
2026-04-20 14:25:00,99.2%
2026-04-20 14:25:15,99.1%
2026-04-20 14:25:30,99.2%
2026-04-20 14:25:45,99.2%
2026-04-20 14:26:00,99.3%